# Chi2 Rg SupportVolume
5.90059e+05 4.91534e+01 2.00038e+06
6.77510e+02 4.68060e+01 2.00038e+06
6.62876e+02 4.56191e+01 2.00038e+06
6.49305e+02 4.43930e+01 2.00038e+06
6.36539e+02 4.31689e+01 2.00038e+06
6.24481e+02 4.20610e+01 2.00038e+06
6.12865e+02 4.11010e+01 2.00038e+06
6.01601e+02 4.02696e+01 2.00038e+06
5.90558e+02 3.95640e+01 2.00038e+06
5.79772e+02 3.89682e+01 2.00038e+06
5.69208e+02 3.84445e+01 2.00038e+06
5.58962e+02 3.79887e+01 2.00038e+06
5.48933e+02 3.76048e+01 2.00038e+06
5.39117e+02 3.72743e+01 2.00038e+06
5.29475e+02 3.69880e+01 2.00038e+06
5.19984e+02 3.67453e+01 2.00038e+06
5.10708e+02 3.65346e+01 2.00038e+06
5.01691e+02 3.63464e+01 2.00038e+06
4.92830e+02 3.61793e+01 2.00038e+06
4.84196e+02 3.60344e+01 2.00038e+06
4.75801e+02 3.59070e+01 2.00038e+06
4.67572e+02 3.57954e+01 2.00038e+06
4.59474e+02 3.56932e+01 2.00038e+06
4.51584e+02 3.55980e+01 2.00038e+06
4.43861e+02 3.55081e+01 2.00038e+06
4.36326e+02 3.54315e+01 2.00038e+06
4.28934e+02 3.53603e+01 2.00038e+06
4.21704e+02 3.52950e+01 2.00038e+06
4.14688e+02 3.52379e+01 2.00038e+06
4.07799e+02 3.51875e+01 2.00038e+06
4.01033e+02 3.51368e+01 2.00038e+06
3.94405e+02 3.50866e+01 2.00038e+06
3.87942e+02 3.50417e+01 2.00038e+06
3.81604e+02 3.50022e+01 2.00038e+06
3.75391e+02 3.49660e+01 2.00038e+06
3.69291e+02 3.49288e+01 2.00038e+06
3.63313e+02 3.48953e+01 2.00038e+06
3.57473e+02 3.48648e+01 2.00038e+06
3.51737e+02 3.48344e+01 2.00038e+06
3.46127e+02 3.48074e+01 2.00038e+06
3.40639e+02 3.47819e+01 2.00038e+06
3.35254e+02 3.47546e+01 2.00038e+06
3.29979e+02 3.47272e+01 2.00038e+06
3.24819e+02 3.46982e+01 2.00038e+06
3.19774e+02 3.46701e+01 2.00038e+06
3.14836e+02 3.46419e+01 2.00038e+06
3.09963e+02 3.46122e+01 2.00038e+06
3.05202e+02 3.45824e+01 2.00038e+06
3.00521e+02 3.45524e+01 2.00038e+06
2.95959e+02 3.45223e+01 2.00038e+06
2.91477e+02 3.44931e+01 2.00038e+06
2.87062e+02 3.44629e+01 2.00038e+06
2.82734e+02 3.44302e+01 2.00038e+06
2.78498e+02 3.43980e+01 2.00038e+06
2.74332e+02 3.43653e+01 2.00038e+06
2.70232e+02 3.43320e+01 2.00038e+06
2.66188e+02 3.42994e+01 2.00038e+06
2.62243e+02 3.42644e+01 2.00038e+06
2.58386e+02 3.42287e+01 2.00038e+06
2.54597e+02 3.41933e+01 2.00038e+06
2.50865e+02 3.41571e+01 2.00038e+06
2.47196e+02 3.41200e+01 2.00038e+06
2.43598e+02 3.40817e+01 2.00038e+06
2.40067e+02 3.40422e+01 2.00038e+06
2.36601e+02 3.40017e+01 2.00038e+06
2.33189e+02 3.39603e+01 2.00038e+06
2.29843e+02 3.39183e+01 2.00038e+06
2.26566e+02 3.38757e+01 2.00038e+06
2.23354e+02 3.38323e+01 2.00038e+06
2.20197e+02 3.37881e+01 2.00038e+06
2.17092e+02 3.37432e+01 2.00038e+06
2.14043e+02 3.36983e+01 2.00038e+06
2.11065e+02 3.36532e+01 2.00038e+06
2.08144e+02 3.36069e+01 2.00038e+06
2.05279e+02 3.35605e+01 2.00038e+06
2.02467e+02 3.35138e+01 2.00038e+06
1.99693e+02 3.34673e+01 2.00038e+06
1.96974e+02 3.34203e+01 2.00038e+06
1.94307e+02 3.33729e+01 2.00038e+06
1.91689e+02 3.33266e+01 2.00038e+06
1.89111e+02 3.32806e+01 2.00038e+06
1.86587e+02 3.32345e+01 2.00038e+06
1.84105e+02 3.31879e+01 2.00038e+06
1.81660e+02 3.31409e+01 2.00038e+06
1.79259e+02 3.30935e+01 2.00038e+06
1.76898e+02 3.30461e+01 2.00038e+06
1.74577e+02 3.29985e+01 2.00038e+06
1.72306e+02 3.29510e+01 2.00038e+06
1.70070e+02 3.29039e+01 2.00038e+06
1.67873e+02 3.28561e+01 2.00038e+06
1.65707e+02 3.28088e+01 2.00038e+06
1.63584e+02 3.27613e+01 2.00038e+06
1.61487e+02 3.27135e+01 2.00038e+06
1.59427e+02 3.26662e+01 2.00038e+06
1.57412e+02 3.26190e+01 2.00038e+06
1.55434e+02 3.25719e+01 2.00038e+06
1.53492e+02 3.25243e+01 2.00038e+06
1.51580e+02 3.24763e+01 2.00038e+06
1.49697e+02 3.24286e+01 2.00038e+06
1.47848e+02 3.23809e+01 2.00038e+06
1.46027e+02 3.23334e+01 2.00038e+06
1.44240e+02 3.22861e+01 2.00038e+06
1.42475e+02 3.22389e+01 2.00038e+06
1.40733e+02 3.21918e+01 2.00038e+06
1.39025e+02 3.21448e+01 2.00038e+06
1.37348e+02 3.20977e+01 2.00038e+06
1.35695e+02 3.20510e+01 2.00038e+06
1.34077e+02 3.20043e+01 2.00038e+06
1.32484e+02 3.19576e+01 2.00038e+06
1.30913e+02 3.19110e+01 2.00038e+06
1.29367e+02 3.18647e+01 2.00038e+06
1.27841e+02 3.18180e+01 2.00038e+06
1.26344e+02 3.17710e+01 2.00038e+06
1.24872e+02 3.17239e+01 2.00038e+06
1.23423e+02 3.16768e+01 2.00038e+06
1.21996e+02 3.16301e+01 2.00038e+06
1.20589e+02 3.15844e+01 2.00038e+06
1.19206e+02 3.15391e+01 2.00038e+06
1.17848e+02 3.14934e+01 2.00038e+06
1.16509e+02 3.14481e+01 2.00038e+06
1.15192e+02 3.14029e+01 2.00038e+06
1.13893e+02 3.13582e+01 2.00038e+06
1.12612e+02 3.13135e+01 2.00038e+06
1.11353e+02 3.12691e+01 2.00038e+06
1.10115e+02 3.12247e+01 2.00038e+06
1.08895e+02 3.11800e+01 2.00038e+06
1.07687e+02 3.11356e+01 2.00038e+06
1.06493e+02 3.10911e+01 2.00038e+06
1.05316e+02 3.10464e+01 2.00038e+06
1.04154e+02 3.10020e+01 2.00038e+06
1.03015e+02 3.09578e+01 2.00038e+06
1.01895e+02 3.09135e+01 2.00038e+06
1.00784e+02 3.08691e+01 2.00038e+06
9.96829e+01 3.08252e+01 2.00038e+06
9.86022e+01 3.07818e+01 2.00038e+06
9.75431e+01 3.07384e+01 2.00038e+06
9.64958e+01 3.06949e+01 2.00038e+06
9.54591e+01 3.06516e+01 2.00038e+06
9.44373e+01 3.06080e+01 2.00038e+06
9.34316e+01 3.05640e+01 2.00038e+06
9.24390e+01 3.05198e+01 2.00038e+06
9.14577e+01 3.04757e+01 2.00038e+06
9.04892e+01 3.04313e+01 2.00038e+06
8.95312e+01 3.03872e+01 2.00038e+06
8.85917e+01 3.03435e+01 2.00038e+06
8.76657e+01 3.02995e+01 2.00038e+06
8.67496e+01 3.02557e+01 2.00038e+06
8.58454e+01 3.02125e+01 2.00038e+06
8.49557e+01 3.01692e+01 2.00038e+06
8.40765e+01 3.01259e+01 2.00038e+06
8.32110e+01 3.00826e+01 2.00038e+06
8.23581e+01 3.00394e+01 2.00038e+06
8.15161e+01 2.99963e+01 2.00038e+06
8.06833e+01 2.99532e+01 2.00038e+06
7.98649e+01 2.99106e+01 2.00038e+06
7.90587e+01 2.98685e+01 2.00038e+06
7.82662e+01 2.98263e+01 2.00038e+06
7.74831e+01 2.97841e+01 2.00038e+06
7.67105e+01 2.97424e+01 2.00038e+06
7.59503e+01 2.97013e+01 2.00038e+06
7.52051e+01 2.96602e+01 2.00038e+06
7.44697e+01 2.96189e+01 2.00038e+06
7.37426e+01 2.95778e+01 2.00038e+06
7.30266e+01 2.95371e+01 2.00038e+06
7.23220e+01 2.94964e+01 2.00038e+06
7.16236e+01 2.94562e+01 2.00038e+06
7.09355e+01 2.94160e+01 2.00038e+06
7.02546e+01 2.93757e+01 2.00038e+06
6.95813e+01 2.93357e+01 2.00038e+06
6.89186e+01 2.92959e+01 2.00038e+06
6.82644e+01 2.92562e+01 2.00038e+06
6.76165e+01 2.92167e+01 2.00038e+06
6.69767e+01 2.91773e+01 2.00038e+06
6.63449e+01 2.91377e+01 2.00038e+06
6.57212e+01 2.90980e+01 2.00038e+06
6.51036e+01 2.90586e+01 2.00038e+06
6.44943e+01 2.90194e+01 2.00038e+06
6.38959e+01 2.89800e+01 2.00038e+06
6.33033e+01 2.89408e+01 2.00038e+06
6.27179e+01 2.89016e+01 2.00038e+06
6.21419e+01 2.88626e+01 2.00038e+06
6.15733e+01 2.88236e+01 2.00038e+06
6.10125e+01 2.87848e+01 2.00038e+06
6.04591e+01 2.87459e+01 2.00038e+06
5.99117e+01 2.87071e+01 2.00038e+06
5.93714e+01 2.86685e+01 2.00038e+06
5.88380e+01 2.86303e+01 2.00038e+06
